"Name","State","DisplayName"
"Language.Basic~~~haw-US~0.0.1.0","NotPresent",
"Language.Basic~~~he-IL~0.0.1.0","NotPresent",
"Language.Basic~~~hi-IN~0.0.1.0","NotPresent",
"Language.Basic~~~hr-HR~0.0.1.0","NotPresent",
"Language.Basic~~~hu-HU~0.0.1.0","NotPresent",
"Language.Basic~~~hy-AM~0.0.1.0","NotPresent",
"Language.Basic~~~id-ID~0.0.1.0","NotPresent",
"Language.Basic~~~ig-NG~0.0.1.0","NotPresent",
"Language.Basic~~~is-IS~0.0.1.0","NotPresent",
"Language.Basic~~~it-IT~0.0.1.0","NotPresent",
"Language.Basic~~~ja-JP~0.0.1.0","NotPresent",
"Language.Basic~~~ka-GE~0.0.1.0","NotPresent",
"Language.Basic~~~kk-KZ~0.0.1.0","NotPresent",
"Language.Basic~~~kl-GL~0.0.1.0","NotPresent",
"Language.Basic~~~km-KH~0.0.1.0","NotPresent",
"Language.Basic~~~kn-IN~0.0.1.0","NotPresent",
"Language.Basic~~~kok-DEVA-IN~0.0.1.0","NotPresent",
"Language.Basic~~~ko-KR~0.0.1.0","NotPresent",
"Language.Basic~~~ky-KG~0.0.1.0","NotPresent",
"Language.Basic~~~lb-LU~0.0.1.0","NotPresent",
"Language.Basic~~~lo-LA~0.0.1.0","NotPresent",
"Language.Basic~~~lt-LT~0.0.1.0","NotPresent",
"Language.Basic~~~lv-LV~0.0.1.0","NotPresent",
"Language.Basic~~~mi-NZ~0.0.1.0","NotPresent",
"Language.Basic~~~mk-MK~0.0.1.0","NotPresent",
"Language.Basic~~~ml-IN~0.0.1.0","NotPresent",
"Language.Basic~~~mn-MN~0.0.1.0","NotPresent",
"Language.Basic~~~mr-IN~0.0.1.0","NotPresent",
"Language.Basic~~~ms-BN~0.0.1.0","NotPresent",
"Language.Basic~~~ms-MY~0.0.1.0","NotPresent",
"Language.Basic~~~mt-MT~0.0.1.0","NotPresent",
"Language.Basic~~~my-MM~0.0.1.0","NotPresent",
"Language.Basic~~~nb-NO~0.0.1.0","NotPresent",
"Language.Basic~~~ne-NP~0.0.1.0","NotPresent",
"Language.Basic~~~nl-NL~0.0.1.0","NotPresent",
"Language.Basic~~~nn-NO~0.0.1.0","NotPresent",
"Language.Basic~~~nso-ZA~0.0.1.0","NotPresent",
"Language.Basic~~~or-IN~0.0.1.0","NotPresent",
"Language.Basic~~~pa-ARAB-PK~0.0.1.0","NotPresent",
"Language.Basic~~~pa-IN~0.0.1.0","NotPresent",
"Language.Basic~~~pl-PL~0.0.1.0","NotPresent",
"Language.Basic~~~ps-AF~0.0.1.0","NotPresent",
"Language.Basic~~~pt-BR~0.0.1.0","NotPresent",
"Language.Basic~~~pt-PT~0.0.1.0","NotPresent",
"Language.Basic~~~quc-LATN-GT~0.0.1.0","NotPresent",
"Language.Basic~~~quz-LATN-BO~0.0.1.0","NotPresent",
"Language.Basic~~~rm-CH~0.0.1.0","NotPresent",
"Language.Basic~~~ro-RO~0.0.1.0","NotPresent",
"Language.Basic~~~ru-RU~0.0.1.0","NotPresent",
"Language.Basic~~~rw-RW~0.0.1.0","NotPresent",
"Language.Basic~~~sah-RU~0.0.1.0","NotPresent",
"Language.Basic~~~sd-ARAB-PK~0.0.1.0","NotPresent",
"Language.Basic~~~si-LK~0.0.1.0","NotPresent",
"Language.Basic~~~sk-SK~0.0.1.0","NotPresent",
"Language.Basic~~~sl-SI~0.0.1.0","NotPresent",
"Language.Basic~~~so-SO~0.0.1.0","NotPresent",
"Language.Basic~~~sq-AL~0.0.1.0","NotPresent",
"Language.Basic~~~sr-CYRL-RS~0.0.1.0","NotPresent",
"Language.Basic~~~sr-LATN-RS~0.0.1.0","NotPresent",
"Language.Basic~~~sv-SE~0.0.1.0","NotPresent",
"Language.Basic~~~sw-KE~0.0.1.0","NotPresent",
"Language.Basic~~~ta-IN~0.0.1.0","NotPresent",
"Language.Basic~~~te-IN~0.0.1.0","NotPresent",
"Language.Basic~~~tg-CYRL-TJ~0.0.1.0","NotPresent",
"Language.Basic~~~th-TH~0.0.1.0","NotPresent",
"Language.Basic~~~tk-TM~0.0.1.0","NotPresent",
"Language.Basic~~~tn-ZA~0.0.1.0","NotPresent",
"Language.Basic~~~tr-TR~0.0.1.0","NotPresent",
"Language.Basic~~~tt-RU~0.0.1.0","NotPresent",
"Language.Basic~~~ug-CN~0.0.1.0","NotPresent",
"Language.Basic~~~uk-UA~0.0.1.0","NotPresent",
"Language.Basic~~~ur-PK~0.0.1.0","NotPresent",
"Language.Basic~~~uz-LATN-UZ~0.0.1.0","NotPresent",
"Language.Basic~~~vi-VN~0.0.1.0","NotPresent",
"Language.Basic~~~wo-SN~0.0.1.0","NotPresent",
"Language.Basic~~~xh-ZA~0.0.1.0","NotPresent",
"Language.Basic~~~yo-NG~0.0.1.0","NotPresent",
"Language.Basic~~~zh-CN~0.0.1.0","NotPresent",
"Language.Basic~~~zh-HK~0.0.1.0","NotPresent",
"Language.Basic~~~zh-TW~0.0.1.0","NotPresent",
"Language.Basic~~~zu-ZA~0.0.1.0","NotPresent",
"Language.Fonts.Arab~~~und-ARAB~0.0.1.0","NotPresent",
"Language.Fonts.Beng~~~und-BENG~0.0.1.0","NotPresent",
"Language.Fonts.Cans~~~und-CANS~0.0.1.0","NotPresent",
"Language.Fonts.Cher~~~und-CHER~0.0.1.0","NotPresent",
"Language.Fonts.Deva~~~und-DEVA~0.0.1.0","NotPresent",
"Language.Fonts.Ethi~~~und-ETHI~0.0.1.0","NotPresent",
"Language.Fonts.Gujr~~~und-GUJR~0.0.1.0","NotPresent",
"Language.Fonts.Guru~~~und-GURU~0.0.1.0","NotPresent",
"Language.Fonts.Hans~~~und-HANS~0.0.1.0","NotPresent",
"Language.Fonts.Hant~~~und-HANT~0.0.1.0","NotPresent",
"Language.Fonts.Hebr~~~und-HEBR~0.0.1.0","NotPresent",
"Language.Fonts.Jpan~~~und-JPAN~0.0.1.0","NotPresent",
"Language.Fonts.Khmr~~~und-KHMR~0.0.1.0","NotPresent",
"Language.Fonts.Knda~~~und-KNDA~0.0.1.0","NotPresent",
"Language.Fonts.Kore~~~und-KORE~0.0.1.0","NotPresent",
"Language.Fonts.Laoo~~~und-LAOO~0.0.1.0","NotPresent",
"Language.Fonts.Mlym~~~und-MLYM~0.0.1.0","NotPresent",
"Language.Fonts.Orya~~~und-ORYA~0.0.1.0","NotPresent",
"Language.Fonts.PanEuropeanSupplementalFonts~~~~0.0.1.0","NotPresent",
"Language.Fonts.Sinh~~~und-SINH~0.0.1.0","NotPresent",
"Language.Fonts.Syrc~~~und-SYRC~0.0.1.0","NotPresent",
"Language.Fonts.Taml~~~und-TAML~0.0.1.0","NotPresent",
"Language.Fonts.Telu~~~und-TELU~0.0.1.0","NotPresent",
"Language.Fonts.Thai~~~und-THAI~0.0.1.0","NotPresent",
"Language.Handwriting~~~af-ZA~0.0.1.0","NotPresent",
"Language.Handwriting~~~ar-EG~0.0.1.0","NotPresent",
"Language.Handwriting~~~as-IN~0.0.1.0","NotPresent",
"Language.Handwriting~~~az-LATN-AZ~0.0.1.0","NotPresent",
"Language.Handwriting~~~be-BY~0.0.1.0","NotPresent",
"Language.Handwriting~~~bg-BG~0.0.1.0","NotPresent",
"Language.Handwriting~~~bn-BD~0.0.1.0","NotPresent",
"Language.Handwriting~~~bn-IN~0.0.1.0","NotPresent",
"Language.Handwriting~~~br-FR~0.0.1.0","NotPresent",
"Language.Handwriting~~~bs-LATN-BA~0.0.1.0","NotPresent",
"Language.Handwriting~~~ca-ES~0.0.1.0","NotPresent",
"Language.Handwriting~~~co-FR~0.0.1.0","NotPresent",
"Language.Handwriting~~~cs-CZ~0.0.1.0","NotPresent",
"Language.Handwriting~~~cy-GB~0.0.1.0","NotPresent",
"Language.Handwriting~~~da-DK~0.0.1.0","NotPresent",
"Language.Handwriting~~~de-DE~0.0.1.0","NotPresent",
"Language.Handwriting~~~el-GR~0.0.1.0","NotPresent",
"Language.Handwriting~~~en-GB~0.0.1.0","NotPresent",
"Language.Handwriting~~~en-US~0.0.1.0","Installed",
"Language.Handwriting~~~es-ES~0.0.1.0","NotPresent",
"Language.Handwriting~~~es-MX~0.0.1.0","NotPresent",
"Language.Handwriting~~~et-EE~0.0.1.0","NotPresent",
"Language.Handwriting~~~eu-ES~0.0.1.0","NotPresent",
"Language.Handwriting~~~fi-FI~0.0.1.0","NotPresent",
"Language.Handwriting~~~fil-PH~0.0.1.0","NotPresent",
"Language.Handwriting~~~fj-FJ~0.0.1.0","NotPresent",
"Language.Handwriting~~~fr-FR~0.0.1.0","NotPresent",
"Language.Handwriting~~~ga-IE~0.0.1.0","NotPresent",
"Language.Handwriting~~~gd-GB~0.0.1.0","NotPresent",
"Language.Handwriting~~~gl-ES~0.0.1.0","NotPresent",
"Language.Handwriting~~~haw-US~0.0.1.0","NotPresent",
"Language.Handwriting~~~he-IL~0.0.1.0","NotPresent",
"Language.Handwriting~~~hi-IN~0.0.1.0","NotPresent",
"Language.Handwriting~~~hr-HR~0.0.1.0","NotPresent",
"Language.Handwriting~~~hu-HU~0.0.1.0","NotPresent",
"Language.Handwriting~~~id-ID~0.0.1.0","NotPresent",
"Language.Handwriting~~~is-IS~0.0.1.0","NotPresent",
"Language.Handwriting~~~it-IT~0.0.1.0","NotPresent",
"Language.Handwriting~~~ja-JP~0.0.1.0","NotPresent",
"Language.Handwriting~~~jv-LATN-ID~0.0.1.0","NotPresent",
"Language.Handwriting~~~ki-KE~0.0.1.0","NotPresent",
"Language.Handwriting~~~kl-GL~0.0.1.0","NotPresent",
"Language.Handwriting~~~kn-IN~0.0.1.0","NotPresent",
"Language.Handwriting~~~ko-KR~0.0.1.0","NotPresent",
"Language.Handwriting~~~lb-LU~0.0.1.0","NotPresent",
"Language.Handwriting~~~lt-LT~0.0.1.0","NotPresent",
"Language.Handwriting~~~lv-LV~0.0.1.0","NotPresent",
"Language.Handwriting~~~mg-MG~0.0.1.0","NotPresent",
"Language.Handwriting~~~mi-NZ~0.0.1.0","NotPresent",
"Language.Handwriting~~~ms-BN~0.0.1.0","NotPresent",
"Language.Handwriting~~~ms-MY~0.0.1.0","NotPresent",
"Language.Handwriting~~~nb-NO~0.0.1.0","NotPresent",
"Language.Handwriting~~~nl-NL~0.0.1.0","NotPresent",
"Language.Handwriting~~~nn-NO~0.0.1.0","NotPresent",
"Language.Handwriting~~~nso-ZA~0.0.1.0","NotPresent",
"Language.Handwriting~~~oc-FR~0.0.1.0","NotPresent",
"Language.Handwriting~~~pl-PL~0.0.1.0","NotPresent",
"Language.Handwriting~~~pt-BR~0.0.1.0","NotPresent",
"Language.Handwriting~~~pt-PT~0.0.1.0","NotPresent",
"Language.Handwriting~~~quz-BO~0.0.1.0","NotPresent",
"Language.Handwriting~~~rm-CH~0.0.1.0","NotPresent",
"Language.Handwriting~~~ro-RO~0.0.1.0","NotPresent",
"Language.Handwriting~~~ru-RU~0.0.1.0","NotPresent",
"Language.Handwriting~~~rw-RW~0.0.1.0","NotPresent",
"Language.Handwriting~~~sco-LATN~0.0.1.0","NotPresent",
"Language.Handwriting~~~sk-SK~0.0.1.0","NotPresent",
"Language.Handwriting~~~sl-SI~0.0.1.0","NotPresent",
"Language.Handwriting~~~sn-LATN~0.0.1.0","NotPresent",
"Language.Handwriting~~~so-SO~0.0.1.0","NotPresent",
"Language.Handwriting~~~sq-AL~0.0.1.0","NotPresent",
"Language.Handwriting~~~sr-CYRL-RS~0.0.1.0","NotPresent",
"Language.Handwriting~~~sr-LATN-RS~0.0.1.0","NotPresent",
"Language.Handwriting~~~sv-SE~0.0.1.0","NotPresent",
"Language.Handwriting~~~sw-KE~0.0.1.0","NotPresent",
"Language.Handwriting~~~ta-IN~0.0.1.0","NotPresent",
"Language.Handwriting~~~te-IN~0.0.1.0","NotPresent",
"Language.Handwriting~~~th-TH~0.0.1.0","NotPresent",
"Language.Handwriting~~~tk-TM~0.0.1.0","NotPresent",
"Language.Handwriting~~~tn-ZA~0.0.1.0","NotPresent",
"Language.Handwriting~~~tr-TR~0.0.1.0","NotPresent",
"Language.Handwriting~~~uk-UA~0.0.1.0","NotPresent",
"Language.Handwriting~~~uz-LATN-UZ~0.0.1.0","NotPresent",
"Language.Handwriting~~~vi-VN~0.0.1.0","NotPresent",
"Language.Handwriting~~~wo-SN~0.0.1.0","NotPresent",
"Language.Handwriting~~~xh-ZA~0.0.1.0","NotPresent",
"Language.Handwriting~~~zh-CN~0.0.1.0","NotPresent",
"Language.Handwriting~~~zh-HK~0.0.1.0","NotPresent",
"Language.Handwriting~~~zh-TW~0.0.1.0","NotPresent",
"Language.Handwriting~~~zu-ZA~0.0.1.0","NotPresent",
"Language.OCR~~~ar-SA~0.0.1.0","NotPresent",
"Language.OCR~~~bg-BG~0.0.1.0","NotPresent",
"Language.OCR~~~bs-LATN-BA~0.0.1.0","NotPresent",
"Language.OCR~~~cs-CZ~0.0.1.0","NotPresent",
"Language.OCR~~~da-DK~0.0.1.0","NotPresent",
"Language.OCR~~~de-DE~0.0.1.0","NotPresent",
"Language.OCR~~~el-GR~0.0.1.0","NotPresent",
"Language.OCR~~~en-GB~0.0.1.0","NotPresent",
"Language.OCR~~~en-US~0.0.1.0","Installed",
"Language.OCR~~~es-ES~0.0.1.0","NotPresent",
"Language.OCR~~~es-MX~0.0.1.0","NotPresent",
"Language.OCR~~~fi-FI~0.0.1.0","NotPresent",
"Language.OCR~~~fr-CA~0.0.1.0","NotPresent",
"Language.OCR~~~fr-FR~0.0.1.0","NotPresent",
"Language.OCR~~~hr-HR~0.0.1.0","NotPresent",
"Language.OCR~~~hu-HU~0.0.1.0","NotPresent",
"Language.OCR~~~it-IT~0.0.1.0","NotPresent",
"Language.OCR~~~ja-JP~0.0.1.0","NotPresent",
"Language.OCR~~~ko-KR~0.0.1.0","NotPresent",
"Language.OCR~~~nb-NO~0.0.1.0","NotPresent",
"Language.OCR~~~nl-NL~0.0.1.0","NotPresent",
"Language.OCR~~~pl-PL~0.0.1.0","NotPresent",
"Language.OCR~~~pt-BR~0.0.1.0","NotPresent",
"Language.OCR~~~pt-PT~0.0.1.0","NotPresent",
"Language.OCR~~~ro-RO~0.0.1.0","NotPresent",
"Language.OCR~~~ru-RU~0.0.1.0","NotPresent",
"Language.OCR~~~sk-SK~0.0.1.0","NotPresent",
"Language.OCR~~~sl-SI~0.0.1.0","NotPresent",
"Language.OCR~~~sr-CYRL-RS~0.0.1.0","NotPresent",
"Language.OCR~~~sr-LATN-RS~0.0.1.0","NotPresent",
"Language.OCR~~~sv-SE~0.0.1.0","NotPresent",
"Language.OCR~~~tr-TR~0.0.1.0","NotPresent",
"Language.OCR~~~zh-CN~0.0.1.0","NotPresent",
"Language.OCR~~~zh-HK~0.0.1.0","NotPresent",
"Language.OCR~~~zh-TW~0.0.1.0","NotPresent",
"Language.Speech~~~da-DK~0.0.1.0","NotPresent",
"Language.Speech~~~de-DE~0.0.1.0","NotPresent",
"Language.Speech~~~en-AU~0.0.1.0","NotPresent",
"Language.Speech~~~en-CA~0.0.1.0","NotPresent",
"Language.Speech~~~en-GB~0.0.1.0","NotPresent",
"Language.Speech~~~en-IN~0.0.1.0","NotPresent",
"Language.Speech~~~en-US~0.0.1.0","Installed",
"Language.Speech~~~es-ES~0.0.1.0","NotPresent",
"Language.Speech~~~es-MX~0.0.1.0","NotPresent",
"Language.Speech~~~fr-CA~0.0.1.0","NotPresent",
"Language.Speech~~~fr-FR~0.0.1.0","NotPresent",
"Language.Speech~~~it-IT~0.0.1.0","NotPresent",
"Language.Speech~~~ja-JP~0.0.1.0","NotPresent",
"Language.Speech~~~pt-BR~0.0.1.0","NotPresent",
"Language.Speech~~~zh-CN~0.0.1.0","NotPresent",
"Language.Speech~~~zh-HK~0.0.1.0","NotPresent",
"Language.Speech~~~zh-TW~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~ar-EG~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~ar-SA~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~bg-BG~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~ca-ES~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~cs-CZ~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~da-DK~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~de-AT~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~de-CH~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~de-DE~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~el-GR~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~en-AU~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~en-CA~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~en-GB~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~en-IE~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~en-IN~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~en-US~0.0.1.0","Installed",
"Language.TextToSpeech~~~es-ES~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~es-MX~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~fi-FI~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~fr-CA~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~fr-CH~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~fr-FR~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~he-IL~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~hi-IN~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~hr-HR~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~hu-HU~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~id-ID~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~it-IT~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~ja-JP~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~ko-KR~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~ms-MY~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~nb-NO~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~nl-BE~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~nl-NL~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~pl-PL~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~pt-BR~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~pt-PT~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~ro-RO~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~ru-RU~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~sk-SK~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~sl-SI~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~sv-SE~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~ta-IN~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~th-TH~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~tr-TR~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~vi-VN~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~zh-CN~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~zh-HK~0.0.1.0","NotPresent",
"Language.TextToSpeech~~~zh-TW~0.0.1.0","NotPresent",
"MathRecognizer~~~~0.0.1.0","NotPresent",
"Media.WindowsMediaPlayer~~~~0.0.12.0","Installed",
"Microsoft.Onecore.StorageManagement~~~~0.0.1.0","NotPresent",
"Microsoft.Wallpapers.Extended~~~~0.0.1.0","Installed",
"Microsoft.WebDriver~~~~0.0.1.0","Installed",
"Microsoft.Windows.Console.Legacy~~~~","NotPresent",
"Microsoft.Windows.Ethernet.Client.Intel.E1i68x64~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Ethernet.Client.Intel.E2f68~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Ethernet.Client.Realtek.Rtcx21x64~~~~0.0.1.0","Installed",
"Microsoft.Windows.Ethernet.Client.Vmware.Vmxnet3~~~~0.0.1.0","Installed",
"Microsoft.Windows.Notepad.System~~~~0.0.1.0","Installed",
"Microsoft.Windows.PowerShell.ISE~~~~0.0.1.0","Installed",
"Microsoft.Windows.Sense.Client~~~~","Installed",
"Microsoft.Windows.StorageManagement~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Broadcom.Bcmpciedhd63~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Broadcom.Bcmwl63a~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Broadcom.Bcmwl63al~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Intel.Netwbw02~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Intel.Netwew00~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Intel.Netwew01~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Intel.Netwlv64~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Intel.Netwns64~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Intel.Netwsw00~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Intel.Netwtw02~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Intel.Netwtw04~~~~0.0.1.0","Installed",
"Microsoft.Windows.Wifi.Client.Intel.Netwtw06~~~~0.0.1.0","Installed",
"Microsoft.Windows.Wifi.Client.Intel.Netwtw08~~~~0.0.1.0","Installed",
"Microsoft.Windows.Wifi.Client.Intel.Netwtw10~~~~0.0.1.0","Installed",
"Microsoft.Windows.Wifi.Client.Marvel.Mrvlpcie8897~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Qualcomm.Athw8x~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Qualcomm.Athwnx~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Qualcomm.Qcamain10x64~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Ralink.Netr28x~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Realtek.Rtl8187se~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Realtek.Rtl8192se~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Realtek.Rtl819xp~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Realtek.Rtl85n64~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Realtek.Rtwlane~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Realtek.Rtwlane01~~~~0.0.1.0","NotPresent",
"Microsoft.Windows.Wifi.Client.Realtek.Rtwlane13~~~~0.0.1.0","NotPresent",
"Msix.PackagingTool.Driver~~~~0.0.1.0","NotPresent",
"NetFX3~~~~","Installed",
"Network.Irda~~~~0.0.1.0","NotPresent",
"OneCoreUAP.OneSync~~~~0.0.1.0","Installed",
"OpenSSH.Client~~~~0.0.1.0","Installed",
"OpenSSH.Server~~~~0.0.1.0","NotPresent",
"Print.Fax.Scan~~~~0.0.1.0","NotPresent",
"Print.Management.Console~~~~0.0.1.0","NotPresent",
"RasCMAK.Client~~~~0.0.1.0","NotPresent",
"RIP.Listener~~~~0.0.1.0","NotPresent",
"Rsat.ActiveDirectory.DS-LDS.Tools~~~~0.0.1.0","NotPresent",
"Rsat.AzureStack.HCI.Management.Tools~~~~0.0.1.0","NotPresent",
"Rsat.BitLocker.Recovery.Tools~~~~0.0.1.0","NotPresent",
"Rsat.CertificateServices.Tools~~~~0.0.1.0","NotPresent",
"Rsat.DHCP.Tools~~~~0.0.1.0","NotPresent",
"Rsat.Dns.Tools~~~~0.0.1.0","NotPresent",
"Rsat.FailoverCluster.Management.Tools~~~~0.0.1.0","NotPresent",
"Rsat.FileServices.Tools~~~~0.0.1.0","NotPresent",
"Rsat.GroupPolicy.Management.Tools~~~~0.0.1.0","NotPresent",
"Rsat.IPAM.Client.Tools~~~~0.0.1.0","NotPresent",
"Rsat.LLDP.Tools~~~~0.0.1.0","NotPresent",
"Rsat.NetworkController.Tools~~~~0.0.1.0","NotPresent",
"Rsat.NetworkLoadBalancing.Tools~~~~0.0.1.0","NotPresent",
"Rsat.RemoteAccess.Management.Tools~~~~0.0.1.0","NotPresent",
"Rsat.RemoteDesktop.Services.Tools~~~~0.0.1.0","NotPresent",
"Rsat.ServerManager.Tools~~~~0.0.1.0","NotPresent",
"Rsat.StorageMigrationService.Management.Tools~~~~0.0.1.0","NotPresent",
"Rsat.StorageReplica.Tools~~~~0.0.1.0","NotPresent",
"Rsat.SystemInsights.Management.Tools~~~~0.0.1.0","NotPresent",
